sample_idx,accuracy_correct,match_type,confidence,predicted_answer,ground_truth_answer,match_f1,precision,recall,num_predicted_steps,num_reference_steps,num_matched_predictions,num_matched_references,avg_similarity,max_similarity,threshold_used
0,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,9,0,0,0.0,0.0,0.35
1,False,placeholder,0.0,insufficient information,Yes,0.0,0.0,0.0,0,9,0,0,0.0,0.0,0.35
2,False,placeholder,0.0,insufficient information,B,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
3,False,placeholder,0.0,insufficient information,Green,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
4,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
5,False,placeholder,0.0,insufficient information,Bus,0.0,0.0,0.0,0,7,0,0,0.0,0.0,0.35
6,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
7,False,placeholder,0.0,insufficient information,2,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
8,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
9,False,placeholder,0.0,insufficient information,B,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
10,False,placeholder,0.0,insufficient information,3,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
11,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
12,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
13,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,7,0,0,0.0,0.0,0.35
14,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0000001192092896,1.0000007152557373,0.35
15,False,placeholder,0.0,insufficient information,B,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
16,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
17,False,placeholder,0.0,insufficient information,0,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
18,False,placeholder,0.0,insufficient information,B,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
19,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
20,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
21,False,yes_no,1.0,No,Yes,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.0000004768371582,0.35
22,False,placeholder,0.0,insufficient information,0,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
23,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
24,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
25,True,yes_no,1.0,No,No,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.0000004768371582,0.35
26,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
27,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,7,0,0,0.0,0.0,0.35
28,False,placeholder,0.0,insufficient information,B,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
29,False,placeholder,0.0,insufficient information,B,0.0,0.0,0.0,0,9,0,0,0.0,0.0,0.35
30,True,yes_no,1.0,Yes,Yes,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.0000005960464478,0.35
31,False,placeholder,0.0,insufficient information,B,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.35
32,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
33,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
34,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0.35
35,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,5,0,0,0.0,0.0,0.35
