sample_idx,accuracy_correct,match_type,confidence,predicted_answer,ground_truth_answer,match_f1,precision,recall,num_predicted_steps,num_reference_steps,num_matched_predictions,num_matched_references,avg_similarity,max_similarity,threshold_used
0,True,exact,0.7,B. The object on the left is the smallest object.,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0,1.000000238418579,0.35
1,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
2,False,exact,1.0,Yes,B,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
3,False,exact,1.0,Red,Green,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
4,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
5,True,exact,1.0,Bus,Bus,0.6,1.0,0.42857142857142855,3,7,3,3,1.000000238418579,1.000000238418579,0.35
6,True,exact,0.7,A. Behind,A,0.8,1.0,0.6666666666666666,4,6,4,4,1.0000001192092896,1.000000238418579,0.35
7,True,numeric_exact,1.0,2,2,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
8,True,exact,0.7,B. Flat,A,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
9,False,exact,0.3,A. The dog is facing forwards.,B,0.888888888888889,1.0,0.8,4,5,4,4,1.0,1.000000238418579,0.35
10,True,numeric_exact,1.0,3,3,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
11,True,exact,0.7,A. they are all equally distant away,A,0.6666666666666666,1.0,0.5,3,6,3,3,1.0000001192092896,1.000000238418579,0.35
12,True,exact,0.7,C. The cat is next to the black and white shoes.,A,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
13,False,exact,0.3,B. 1,C,0.7272727272727273,1.0,0.5714285714285714,4,7,4,4,1.0000001192092896,1.0000001192092896,0.35
14,True,yes_no,1.0,Yes,Yes,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
15,True,exact,0.7,"B. The pillows are on the couch in the right corner of the couch, left corner of the photo.",B,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
16,False,exact,1.0,Yes,A,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
17,False,numeric_mismatch,0.0,3,0,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
18,False,exact,1.0,No,B,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
19,True,exact,0.7,B. The chair is underneath the table to the left.,C,0.6666666666666666,1.0,0.5,3,6,3,3,1.0000001192092896,1.000000238418579,0.35
20,True,exact,0.7,A. 30,A,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.0000001192092896,0.35
21,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
22,False,numeric_mismatch,0.0,2,0,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
23,True,exact,0.7,C. The churros cone is on the left side.,C,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
24,True,exact,0.7,B. There are 2 benches.,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
25,False,yes_no,1.0,Yes,No,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
26,True,exact,0.7,A. From left to right,A,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
27,True,exact,0.7,C. The hot sauce is larger.,A,0.6,1.0,0.42857142857142855,3,7,3,3,1.000000238418579,1.000000238418579,0.35
28,True,exact,0.7,A. The white object is bigger than the bowl.,B,0.888888888888889,1.0,0.8,4,5,4,4,1.0,1.000000238418579,0.35
29,True,exact,0.7,B. There are a total of 7 matryoshka's dolls in the image.,B,0.6153846153846153,1.0,0.4444444444444444,4,9,4,4,1.0,1.000000238418579,0.35
30,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
